station,valid,tmpc,relh,drct,sknt,mslp,p01m
AMW,2019-01-01 00:00,M,M,340.00,16.00,M,M
AMW,2019-01-01 00:05,M,M,350.00,15.00,M,M
AMW,2019-01-01 00:10,M,M,350.00,16.00,M,M
AMW,2019-01-01 00:15,M,M,340.00,14.00,M,M
AMW,2019-01-01 00:20,M,M,340.00,15.00,M,M
AMW,2019-01-01 00:25,M,M,330.00,15.00,M,M
AMW,2019-01-01 00:30,M,M,320.00,15.00,M,M
AMW,2019-01-01 00:35,M,M,320.00,16.00,M,M
AMW,2019-01-01 00:38,-1.72,92.49,330.00,16.00,M,0.00
AMW,2019-01-01 00:40,M,M,330.00,18.00,M,M
AMW,2019-01-01 00:45,M,M,320.00,16.00,M,M
AMW,2019-01-01 00:50,M,M,320.00,19.00,M,M
AMW,2019-01-01 00:53,-1.72,92.49,320.00,16.00,1014.50,0.00
AMW,2019-01-01 00:55,M,M,320.00,16.00,M,M
AMW,2019-01-01 01:00,M,M,330.00,16.00,M,M
AMW,2019-01-01 01:05,M,M,330.00,21.00,M,M
AMW,2019-01-01 01:10,M,M,330.00,21.00,M,M
AMW,2019-01-01 01:15,M,M,330.00,22.00,M,M
AMW,2019-01-01 01:20,M,M,340.00,19.00,M,M
AMW,2019-01-01 01:25,M,M,330.00,21.00,M,M
AMW,2019-01-01 01:30,M,M,340.00,19.00,M,M
AMW,2019-01-01 01:35,M,M,340.00,18.00,M,M
AMW,2019-01-01 01:45,M,M,340.00,21.00,M,M
AMW,2019-01-01 01:50,M,M,340.00,18.00,M,M
AMW,2019-01-01 01:53,-2.78,88.65,340.00,21.00,1017.10,0.00
AMW,2019-01-01 01:55,M,M,340.00,21.00,M,M
AMW,2019-01-01 02:00,M,M,340.00,18.00,M,M
AMW,2019-01-01 02:05,M,M,340.00,16.00,M,M
AMW,2019-01-01 02:10,M,M,340.00,21.00,M,M
AMW,2019-01-01 02:20,M,M,340.00,16.00,M,M
AMW,2019-01-01 02:25,M,M,330.00,18.00,M,M
AMW,2019-01-01 02:30,M,M,340.00,21.00,M,M
AMW,2019-01-01 02:35,M,M,340.00,16.00,M,M
AMW,2019-01-01 02:40,M,M,340.00,16.00,M,M
AMW,2019-01-01 02:45,M,M,330.00,20.00,M,M
AMW,2019-01-01 02:50,M,M,330.00,20.00,M,M
AMW,2019-01-01 02:53,-3.28,87.87,340.00,17.00,1017.90,0.00
AMW,2019-01-01 02:55,M,M,340.00,19.00,M,M
AMW,2019-01-01 03:00,M,M,340.00,16.00,M,M
AMW,2019-01-01 03:05,M,M,350.00,21.00,M,M
AMW,2019-01-01 03:10,M,M,350.00,20.00,M,M
AMW,2019-01-01 03:15,M,M,340.00,18.00,M,M
AMW,2019-01-01 03:20,M,M,330.00,19.00,M,M
AMW,2019-01-01 03:23,-4.39,87.76,320.00,21.00,M,0.00
AMW,2019-01-01 03:25,M,M,310.00,20.00,M,M
AMW,2019-01-01 03:30,M,M,300.00,16.00,M,M
AMW,2019-01-01 03:35,M,M,310.00,17.00,M,M
AMW,2019-01-01 03:40,M,M,330.00,13.00,M,M
AMW,2019-01-01 03:45,M,M,330.00,13.00,M,M
AMW,2019-01-01 03:50,M,M,320.00,12.00,M,M
AMW,2019-01-01 03:53,-5.00,87.70,320.00,13.00,1019.60,0.00
AMW,2019-01-01 03:55,M,M,330.00,11.00,M,M
AMW,2019-01-01 04:00,M,M,320.00,13.00,M,M
AMW,2019-01-01 04:05,M,M,330.00,16.00,M,M
AMW,2019-01-01 04:10,M,M,330.00,13.00,M,M
AMW,2019-01-01 04:15,M,M,320.00,13.00,M,M
AMW,2019-01-01 04:20,M,M,330.00,13.00,M,M
AMW,2019-01-01 04:25,M,M,330.00,18.00,M,M
AMW,2019-01-01 04:30,M,M,340.00,13.00,M,M
AMW,2019-01-01 04:35,M,M,340.00,20.00,M,M
AMW,2019-01-01 04:40,M,M,330.00,15.00,M,M
AMW,2019-01-01 04:45,M,M,320.00,18.00,M,M
AMW,2019-01-01 04:50,M,M,320.00,17.00,M,M
AMW,2019-01-01 04:53,-6.72,84.55,330.00,17.00,1021.50,0.00
AMW,2019-01-01 04:55,M,M,330.00,16.00,M,M
AMW,2019-01-01 05:00,M,M,330.00,14.00,M,M
AMW,2019-01-01 05:05,M,M,330.00,14.00,M,M
AMW,2019-01-01 05:10,M,M,330.00,16.00,M,M
AMW,2019-01-01 05:15,M,M,340.00,16.00,M,M
AMW,2019-01-01 05:20,M,M,340.00,14.00,M,M
AMW,2019-01-01 05:25,M,M,340.00,16.00,M,M
AMW,2019-01-01 05:30,M,M,330.00,21.00,M,M
AMW,2019-01-01 05:32,-7.22,80.52,330.00,20.00,M,0.00
AMW,2019-01-01 05:35,M,M,340.00,20.00,M,M
AMW,2019-01-01 05:40,M,M,M,19.00,M,M
AMW,2019-01-01 05:45,M,M,330.00,17.00,M,M
AMW,2019-01-01 05:50,M,M,340.00,17.00,M,M
AMW,2019-01-01 05:53,-7.22,80.52,340.00,16.00,1022.20,0.00
AMW,2019-01-01 05:55,M,M,330.00,15.00,M,M
AMW,2019-01-01 06:00,M,M,330.00,16.00,M,M
AMW,2019-01-01 06:05,M,M,320.00,20.00,M,M
AMW,2019-01-01 06:10,M,M,320.00,17.00,M,M
AMW,2019-01-01 06:15,M,M,330.00,18.00,M,M
AMW,2019-01-01 06:20,M,M,330.00,16.00,M,M
AMW,2019-01-01 06:25,M,M,330.00,17.00,M,M
AMW,2019-01-01 06:30,M,M,330.00,14.00,M,M
AMW,2019-01-01 06:35,M,M,330.00,17.00,M,M
AMW,2019-01-01 06:40,M,M,320.00,18.00,M,M
AMW,2019-01-01 06:45,M,M,330.00,18.00,M,M
AMW,2019-01-01 06:50,M,M,330.00,16.00,M,M
AMW,2019-01-01 06:53,-8.28,80.01,320.00,17.00,1023.90,0.00
AMW,2019-01-01 06:55,M,M,320.00,17.00,M,M
AMW,2019-01-01 07:00,M,M,330.00,16.00,M,M
AMW,2019-01-01 07:05,M,M,320.00,17.00,M,M
AMW,2019-01-01 07:10,M,M,330.00,15.00,M,M
AMW,2019-01-01 07:15,M,M,330.00,14.00,M,M
AMW,2019-01-01 07:20,M,M,330.00,13.00,M,M
AMW,2019-01-01 07:25,M,M,320.00,18.00,M,M
AMW,2019-01-01 07:30,M,M,320.00,18.00,M,M
AMW,2019-01-01 07:35,M,M,330.00,15.00,M,M
AMW,2019-01-01 07:40,M,M,330.00,16.00,M,M
AMW,2019-01-01 07:45,M,M,330.00,13.00,M,M
AMW,2019-01-01 07:50,M,M,330.00,15.00,M,M
AMW,2019-01-01 07:53,-8.89,79.92,340.00,15.00,1025.00,0.00
AMW,2019-01-01 07:55,M,M,320.00,15.00,M,M
AMW,2019-01-01 08:00,M,M,330.00,14.00,M,M
AMW,2019-01-01 08:05,M,M,330.00,17.00,M,M
AMW,2019-01-01 08:10,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:15,M,M,330.00,15.00,M,M
AMW,2019-01-01 08:20,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:25,M,M,M,18.00,M,M
AMW,2019-01-01 08:30,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:35,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:40,M,M,330.00,13.00,M,M
AMW,2019-01-01 08:45,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:50,M,M,330.00,13.00,M,M
AMW,2019-01-01 08:53,-10.00,80.10,330.00,16.00,1026.50,0.00
AMW,2019-01-01 08:55,M,M,330.00,12.00,M,M
AMW,2019-01-01 09:00,M,M,330.00,16.00,M,M
AMW,2019-01-01 09:05,M,M,330.00,13.00,M,M
